#t_s,Fd_N
1.085000,-0.269708
1.086000,-0.290798
1.087000,-0.306021
1.088000,-0.314785
1.089000,-0.316694
1.090000,-0.311572
1.091000,-0.299466
1.092000,-0.280649
1.093000,-0.255616
1.094000,-0.225064
1.095000,-0.189869
1.096000,-0.151060
1.097000,-0.109776
1.098000,-0.067230
1.099000,-0.024663
1.100000,0.016700
1.101000,0.055695
1.102000,0.091262
1.103000,0.122479
1.104000,0.148600
1.105000,0.169075
1.106000,0.183572
1.107000,0.191982
1.108000,0.194421
1.109000,0.191216
1.110000,0.182890
1.111000,0.170135
1.112000,0.153774
1.113000,0.134726
1.114000,0.113962
1.115000,0.092459
1.116000,0.071157
1.117000,0.050916
1.118000,0.032480
1.119000,0.016443
1.120000,0.003226
1.121000,-0.006937
1.122000,-0.014005
1.123000,-0.018127
1.124000,-0.019625
1.125000,-0.018976
1.126000,-0.016776
1.127000,-0.013704
1.128000,-0.010484
1.129000,-0.007839
1.130000,-0.006444
1.131000,-0.006893
1.132000,-0.009654
1.133000,-0.015045
1.134000,-0.023210
1.135000,-0.034106
1.136000,-0.047505
1.137000,-0.062998
1.138000,-0.080020
1.139000,-0.097872
1.140000,-0.115761
1.141000,-0.132840
1.142000,-0.148253
1.143000,-0.161183
1.144000,-0.170898
1.145000,-0.176788
1.146000,-0.178404
1.147000,-0.175483
1.148000,-0.167964
1.149000,-0.155995
1.150000,-0.139929
1.151000,-0.120303
1.152000,-0.097819
1.153000,-0.073298
1.154000,-0.047649
1.155000,-0.021814
1.156000,0.003278
1.157000,0.026759
1.158000,0.047867
1.159000,0.065986
1.160000,0.080674
1.161000,0.091683
1.162000,0.098974
1.163000,0.102708
1.164000,0.103236
1.165000,0.101074
1.166000,0.096869
1.167000,0.091358
1.168000,0.085324
1.169000,0.079543
1.170000,0.074743
1.171000,0.071555
1.172000,0.070475
1.173000,0.071836
1.174000,0.075789
1.175000,0.082287
1.176000,0.091098
1.177000,0.101808
1.178000,0.113853
1.179000,0.126552
1.180000,0.139143
1.181000,0.150832
1.182000,0.160843
1.183000,0.168457
1.184000,0.173061
1.185000,0.174183
1.186000,0.171520
