#t_s,e_des_um
1.045000,-2.141081
1.046000,-2.085711
1.047000,-2.030342
1.048000,-1.974972
1.049000,-1.919602
1.050000,-1.864233
1.051000,-1.811360
1.052000,-1.762972
1.053000,-1.714584
1.054000,-1.666197
1.055000,-1.617809
1.056000,-1.569422
1.057000,-1.521034
1.058000,-1.472646
1.059000,-1.408665
1.060000,-1.340760
1.061000,-1.272855
1.062000,-1.204950
1.063000,-1.137045
1.064000,-1.069140
1.065000,-1.001235
1.066000,-0.933330
1.067000,-0.865425
1.068000,-0.797520
1.069000,-0.729615
1.070000,-0.661710
1.071000,-0.593805
1.072000,-0.525900
1.073000,-0.457994
1.074000,-0.365324
1.075000,-0.261096
1.076000,-0.156867
1.077000,-0.052639
1.078000,0.051590
1.079000,0.155818
1.080000,0.260046
1.081000,0.339419
1.082000,0.241943
1.083000,0.144467
1.084000,0.046990
1.085000,-0.050486
1.086000,-0.147962
1.087000,-0.245438
1.088000,-0.342914
1.089000,-0.502055
1.090000,-0.708739
1.091000,-0.915423
1.092000,-1.122107
1.093000,-1.328791
1.094000,-1.535475
1.095000,-1.742159
1.096000,-1.948253
1.097000,-2.057831
1.098000,-2.167408
1.099000,-2.276986
1.100000,-2.386563
1.101000,-2.496141
1.102000,-2.605719
1.103000,-2.715296
1.104000,-2.780022
1.105000,-2.789370
1.106000,-2.798719
1.107000,-2.808067
1.108000,-2.817415
1.109000,-2.826763
1.110000,-2.836112
1.111000,-2.845460
1.112000,-2.719604
1.113000,-2.576851
1.114000,-2.434098
1.115000,-2.291345
1.116000,-2.148593
1.117000,-2.005840
1.118000,-1.863087
1.119000,-1.687652
1.120000,-1.445964
1.121000,-1.204275
1.122000,-0.962586
1.123000,-0.720897
1.124000,-0.479209
1.125000,-0.237520
1.126000,0.004169
1.127000,-0.193595
1.128000,-0.521325
1.129000,-0.849055
1.130000,-1.176785
1.131000,-1.504514
1.132000,-1.832244
1.133000,-2.159974
1.134000,-2.369810
1.135000,-2.144509
1.136000,-1.919209
1.137000,-1.693908
1.138000,-1.468608
1.139000,-1.243307
1.140000,-1.018006
1.141000,-0.792706
1.142000,-0.780165
1.143000,-0.879888
1.144000,-0.979610
1.145000,-1.079332
1.146000,-1.179055
1.147000,-1.278777
1.148000,-1.378500
1.149000,-1.494401
1.150000,-1.762614
1.151000,-2.030827
1.152000,-2.299040
1.153000,-2.567253
1.154000,-2.835467
1.155000,-3.103680
1.156000,-3.371893
1.157000,-3.439590
1.158000,-3.334710
1.159000,-3.229831
1.160000,-3.124951
1.161000,-3.020071
1.162000,-2.915191
1.163000,-2.810311
1.164000,-2.705431
1.165000,-2.638410
1.166000,-2.572207
1.167000,-2.506003
1.168000,-2.439800
1.169000,-2.373596
1.170000,-2.307393
1.171000,-2.241190
1.172000,-2.174986
1.173000,-2.108783
1.174000,-2.042579
1.175000,-1.976376
1.176000,-1.910173
1.177000,-1.843969
1.178000,-1.777766
1.179000,-1.711562
1.180000,-1.645359
1.181000,-1.579155
1.182000,-1.512952
1.183000,-1.446749
1.184000,-1.380545
1.185000,-1.314342
1.186000,-1.248138
1.187000,-1.129563
1.188000,-0.890586
1.189000,-0.651609
1.190000,-0.412632
1.191000,-0.173655
1.192000,0.065322
1.193000,0.304299
1.194000,0.543276
1.195000,0.599927
1.196000,0.594022
1.197000,0.588118
1.198000,0.582213
1.199000,0.576308
1.200000,0.570404
1.201000,0.564499
1.202000,0.558353
1.203000,0.551152
1.204000,0.543950
1.205000,0.536749
1.206000,0.529547
1.207000,0.522346
1.208000,0.515144
1.209000,0.507943
1.210000,0.474934
1.211000,0.426599
1.212000,0.378264
1.213000,0.329929
1.214000,0.281593
1.215000,0.233258
1.216000,0.184923
1.217000,0.138842
1.218000,0.123268
1.219000,0.107695
1.220000,0.092121
1.221000,0.076547
1.222000,0.060973
1.223000,0.045399
1.224000,0.029825
1.225000,0.016872
1.226000,0.006434
1.227000,-0.004004
1.228000,-0.014442
1.229000,-0.024879
1.230000,-0.035317
1.231000,-0.045755
1.232000,-0.056193
1.233000,-0.019048
1.234000,0.020514
1.235000,0.060075
1.236000,0.099637
1.237000,0.139199
1.238000,0.178761
1.239000,0.218323
1.240000,0.326545
1.241000,0.540780
1.242000,0.755016
1.243000,0.969251
1.244000,1.183487
1.245000,1.397723
1.246000,1.611958
1.247000,1.826194
1.248000,1.952323
1.249000,2.060979
1.250000,2.169634
1.251000,2.278289
1.252000,2.386945
1.253000,2.495600
1.254000,2.604255
1.255000,2.685750
1.256000,2.695970
1.257000,2.706189
1.258000,2.716408
1.259000,2.726627
1.260000,2.736846
1.261000,2.747065
1.262000,2.757284
1.263000,2.742700
