#t_s,e_raw_um
1.074000,-0.408900
1.075000,-0.304672
1.076000,-0.200443
1.077000,-0.096215
1.078000,0.008013
1.079000,0.112242
1.080000,0.216470
1.081000,0.295843
1.082000,0.198366
1.083000,0.100890
1.084000,0.003414
1.085000,-0.094062
1.086000,-0.191538
1.087000,-0.289014
1.088000,-0.386490
1.089000,-0.545631
1.090000,-0.752315
1.091000,-0.958999
1.092000,-1.165683
1.093000,-1.372367
1.094000,-1.579051
1.095000,-1.785735
1.096000,-1.991829
1.097000,-2.101407
1.098000,-2.210984
1.099000,-2.320562
1.100000,-2.430140
1.101000,-2.539717
1.102000,-2.649295
1.103000,-2.758873
1.104000,-2.823598
1.105000,-2.832947
1.106000,-2.842295
1.107000,-2.851643
1.108000,-2.860991
1.109000,-2.870340
1.110000,-2.879688
1.111000,-2.889036
1.112000,-2.763180
1.113000,-2.620427
1.114000,-2.477674
1.115000,-2.334922
1.116000,-2.192169
1.117000,-2.049416
1.118000,-1.906663
1.119000,-1.731229
1.120000,-1.489540
1.121000,-1.247851
1.122000,-1.006162
1.123000,-0.764474
1.124000,-0.522785
1.125000,-0.281096
1.126000,-0.039408
1.127000,-0.237172
1.128000,-0.564901
1.129000,-0.892631
1.130000,-1.220361
1.131000,-1.548091
1.132000,-1.875820
1.133000,-2.203550
1.134000,-2.413386
1.135000,-2.188086
1.136000,-1.962785
1.137000,-1.737484
1.138000,-1.512184
1.139000,-1.286883
1.140000,-1.061583
1.141000,-0.836282
1.142000,-0.823741
1.143000,-0.923464
1.144000,-1.023186
1.145000,-1.122909
1.146000,-1.222631
1.147000,-1.322353
1.148000,-1.422076
1.149000,-1.537977
1.150000,-1.806190
1.151000,-2.074403
1.152000,-2.342616
1.153000,-2.610830
1.154000,-2.879043
1.155000,-3.147256
1.156000,-3.415469
1.157000,-3.483167
1.158000,-3.378287
1.159000,-3.273407
1.160000,-3.168527
1.161000,-3.063647
1.162000,-2.958767
1.163000,-2.853887
1.164000,-2.749007
1.165000,-2.681986
1.166000,-2.615783
1.167000,-2.549580
1.168000,-2.483376
1.169000,-2.417173
1.170000,-2.350969
1.171000,-2.284766
1.172000,-2.218562
1.173000,-2.152359
1.174000,-2.086156
1.175000,-2.019952
1.176000,-1.953749
1.177000,-1.887545
1.178000,-1.821342
1.179000,-1.755139
1.180000,-1.688935
1.181000,-1.622732
1.182000,-1.556528
1.183000,-1.490325
1.184000,-1.424122
1.185000,-1.357918
1.186000,-1.291715
1.187000,-1.173139
1.188000,-0.934162
1.189000,-0.695185
1.190000,-0.456208
1.191000,-0.217231
1.192000,0.021746
1.193000,0.260723
1.194000,0.499700
1.195000,0.556351
1.196000,0.550446
1.197000,0.544541
1.198000,0.538637
1.199000,0.532732
1.200000,0.526828
1.201000,0.520923
1.202000,0.514777
1.203000,0.507576
1.204000,0.500374
1.205000,0.493173
1.206000,0.485971
1.207000,0.478769
1.208000,0.471568
1.209000,0.464366
1.210000,0.431358
1.211000,0.383023
1.212000,0.334688
1.213000,0.286352
1.214000,0.238017
1.215000,0.189682
1.216000,0.141347
1.217000,0.095266
1.218000,0.079692
1.219000,0.064118
1.220000,0.048544
1.221000,0.032971
1.222000,0.017397
1.223000,0.001823
1.224000,-0.013751
1.225000,-0.026704
1.226000,-0.037142
1.227000,-0.047580
1.228000,-0.058018
1.229000,-0.068456
1.230000,-0.078894
1.231000,-0.089331
1.232000,-0.099769
1.233000,-0.062625
1.234000,-0.023063
1.235000,0.016499
1.236000,0.056061
1.237000,0.095623
1.238000,0.135185
1.239000,0.174747
1.240000,0.282968
1.241000,0.497204
1.242000,0.711440
1.243000,0.925675
1.244000,1.139911
1.245000,1.354146
1.246000,1.568382
1.247000,1.782618
1.248000,1.908747
1.249000,2.017402
1.250000,2.126058
1.251000,2.234713
1.252000,2.343368
1.253000,2.452024
1.254000,2.560679
1.255000,2.642174
1.256000,2.652393
1.257000,2.662612
1.258000,2.672832
1.259000,2.683051
1.260000,2.693270
1.261000,2.703489
1.262000,2.713708
1.263000,2.699124
1.264000,2.674766
1.265000,2.650407
1.266000,2.626049
1.267000,2.601691
1.268000,2.577333
1.269000,2.552975
1.270000,2.528205
1.271000,2.501247
1.272000,2.474290
1.273000,2.447332
1.274000,2.420375
1.275000,2.393418
1.276000,2.366460
1.277000,2.339503
1.278000,2.394909
1.279000,2.505184
1.280000,2.615459
1.281000,2.725734
1.282000,2.836008
1.283000,2.946283
1.284000,3.056558
1.285000,3.162373
1.286000,3.165442
1.287000,3.168512
1.288000,3.171581
1.289000,3.174651
1.290000,3.177720
1.291000,3.180789
1.292000,3.183859
1.293000,3.289969
1.294000,3.506363
1.295000,3.722758
1.296000,3.939152
1.297000,4.155546
1.298000,4.371940
1.299000,4.588334
1.300000,4.804729
1.301000,5.148528
1.302000,5.502740
1.303000,5.856952
1.304000,6.211164
1.305000,6.565375
1.306000,6.919587
1.307000,7.273799
1.308000,7.786623
1.309000,8.574360
1.310000,9.362097
1.311000,10.149835
1.312000,10.937572
1.313000,11.725309
1.314000,12.513046
1.315000,13.300783
1.316000,13.555010
1.317000,13.681878
1.318000,13.808746
1.319000,13.935615
1.320000,14.062483
1.321000,14.189351
1.322000,14.316219
1.323000,14.353988
1.324000,14.122605
1.325000,13.891221
1.326000,13.659838
