# trace n_full=62853 stride=5 n_written=12571
# B0_Ns_per_m=400
# K_N_per_m=5000
# bias_um=0
# case_id=ASFC_default
# fd_scale=1
# fd_sha256=58858d990d4f36176992fea6e5590f4a8ab64bca1face89aaacc6ea25d261187
# mode=ASFC
# mu=896436268.5
# n=3
# n_steps_done=62853
# note=
# r_actual=1
# r_design=1
# status=OK
# v_ref_m_s=0.0006679905
# units t=s phase=code along_mm=mm y_d=m y_sim=m e_um=um e_raw_um=um b_um=um e_vib_um=um v_m_s=m/s Fd_N=N F_spring_N=N F_linear_damping_N=N F_shear_N=N F_SFC_N=N tau_1=N*m tau_2=N*m tau_3=N*m tau_4=N*m tau_5=N*m tau_6=N*m
# phase_names=start,fwd_steady,turn,ret_steady,stop
t,phase,along_mm,y_d,y_sim,e_um,e_raw_um,b_um,e_vib_um,v_m_s,Fd_N,F_spring_N,F_linear_damping_N,F_shear_N,F_SFC_N,tau_1,tau_2,tau_3,tau_4,tau_5,tau_6
0.28,0,0,-0.174,-0.173995,5.01348,2.6715,-0.043576,2.71507,-0.000109788,-0.098149,-0.0250674,0.043915,0.00118626,0.0200339,-0.0139001,7.63779e-08,-1.66532e-08,-1.54391e-08,-0.00200339,0
0.285,0,0,-0.174,-0.173995,4.59787,1.97491,-0.043576,2.01849,-3.73741e-05,0.038726,-0.0229893,0.0149496,4.67985e-05,-0.0079929,0.00554578,-2.80268e-08,6.11276e-09,5.66596e-09,0.00079929,0
0.29,0,0,-0.174,-0.173995,4.56218,2.00355,-0.043576,2.04713,3.14079e-05,0.097994,-0.0228109,-0.0125632,-2.77739e-05,-0.0354019,0.0245634,-1.22825e-07,2.67965e-08,2.4833e-08,0.00354019,0
0.295,0,0,-0.174,-0.173995,4.78006,2.59902,-0.043576,2.6426,4.99997e-05,0.059908,-0.0239003,-0.0199999,-0.000112053,-0.0440123,0.030538,-1.59127e-07,3.47258e-08,3.21755e-08,0.00440123,0
0.3,0,0,-0.174,-0.173995,4.98203,2.85853,-0.043576,2.90211,1.89198e-05,-0.019907,-0.0249101,-0.00756793,-6.07114e-06,-0.0324841,0.0225394,-1.2195e-07,2.66196e-08,2.46604e-08,0.00324841,-3.60646e-18
0.305,0,0,-0.174,-0.173995,4.98288,2.97341,-0.043576,3.01699,-2.68176e-05,-0.073728,-0.0249144,0.010727,1.72893e-05,-0.0141701,0.0098321,-5.31623e-08,1.16072e-08,1.07512e-08,0.00141701,1.57319e-18
0.31,0,0,-0.174,-0.173995,4.78504,2.95972,-0.043576,3.0033,-5.2455e-05,-0.07118,-0.0239252,0.020982,0.000129384,-0.00281382,0.00195242,-1.01505e-08,2.21673e-09,2.05294e-09,0.000281382,3.12396e-19
0.315,0,0,-0.174,-0.173995,4.52466,2.89494,-0.043576,2.93852,-4.51366e-05,-0.021628,-0.0226233,0.0180546,8.2434e-05,-0.0044862,0.00311286,-1.53266e-08,3.34785e-09,3.10004e-09,0.00044862,0
0.32,0,0,-0.174,-0.173996,4.35679,2.84785,-0.043576,2.89143,-1.29595e-05,0.045186,-0.021784,0.00518378,1.9511e-06,-0.0165982,0.0115172,-5.45943e-08,1.19276e-08,1.10433e-08,0.00165982,-1.84277e-18
0.325,0,0,-0.174,-0.173996,4.36861,2.8179,-0.043576,2.86148,2.36507e-05,0.088792,-0.021843,-0.00946027,-1.18591e-05,-0.0313152,0.0217291,-1.02991e-07,2.25057e-08,2.08343e-08,0.00313152,-3.47668e-18
0.33,0,0,-0.174,-0.173995,4.52909,2.94204,-0.043576,2.98562,3.73338e-05,0.065044,-0.0226454,-0.0149335,-4.66474e-05,-0.0376256,0.026108,-1.27751e-07,2.79212e-08,2.58446e-08,0.00376256,0
0.335,0,0,-0.174,-0.173995,4.67067,3.23488,-0.043576,3.27846,4.07382e-06,-0.04612,-0.0233534,-0.00162953,-6.06074e-08,-0.0249829,0.0173355,-8.72259e-08,1.90673e-08,1.76471e-08,0.00249829,0
0.34,0,0,-0.174,-0.173995,4.54381,3.70658,-0.043576,3.75016,-7.67364e-05,-0.205354,-0.022719,0.0306945,0.000405064,0.00838058,-0.00581526,2.84985e-08,-6.23067e-09,-5.76599e-09,-0.000838058,9.30432e-19
0.345,0,0,-0.174,-0.173996,3.97037,2.77311,-0.043576,2.81669,-0.000167891,-0.32001,-0.0198518,0.0671565,0.00424233,0.051547,-0.0357685,1.54346e-07,-3.375e-08,-3.12298e-08,-0.0051547,0
0.35,0,0,-0.174,-0.173997,3.01382,1.57486,-0.043576,1.61843,-0.000212312,-0.310808,-0.0150691,0.0849247,0.0085791,0.0784347,-0.0544261,1.81479e-07,-3.96889e-08,-3.67217e-08,-0.00784347,0
0.355,0,0,-0.174,-0.173998,1.9859,0.11304,-0.043576,0.156617,-0.000180717,-0.184037,-0.00992952,0.072287,0.00529078,0.0676482,-0.0469415,1.06716e-07,-2.33417e-08,-2.15946e-08,-0.00676482,0
0.36,0,0,-0.174,-0.173999,1.2417,-0.595628,-0.043576,-0.552052,-9.50891e-05,-0.030462,-0.00620851,0.0380356,0.000770746,0.0325979,-0.0226199,3.38462e-08,-7.40401e-09,-6.84927e-09,-0.00325979,0
0.365,0,0,-0.174,-0.173999,0.949196,-0.979922,-0.043576,-0.936346,-9.15875e-06,0.056031,-0.00474598,0.0036635,6.88697e-07,-0.00108179,0.000750668,-8.85803e-10,1.93797e-10,1.79262e-10,0.000108179,0
0.37,0,0,-0.174,-0.173999,1.00958,-0.99903,-0.043576,-0.955453,3.34912e-05,0.056684,-0.00504791,-0.0133965,-3.36752e-05,-0.0184781,0.0128222,-1.57538e-08,3.44701e-09,3.18825e-09,0.00184781,2.05148e-18
0.375,0,0,-0.174,-0.173999,1.18716,-0.674714,-0.043576,-0.631138,3.23468e-05,0.022557,-0.0059358,-0.0129387,-3.03399e-05,-0.0189049,0.0131184,-1.83961e-08,4.02561e-09,3.72315e-09,0.00189049,0
0.38,0,0,-0.174,-0.173999,1.31714,-0.431048,-0.043576,-0.387471,1.64068e-05,0.002398,-0.00658571,-0.00656271,-3.95904e-06,-0.0131524,0.00912668,-1.39634e-08,3.05591e-09,2.82612e-09,0.00131524,0
0.385,0,0,-0.174,-0.173999,1.37434,-0.340291,-0.043576,-0.296714,5.11604e-06,-0.006612,-0.00687171,-0.00204642,-1.20039e-07,-0.00891825,0.00618856,-9.79772e-09,2.14445e-09,1.98307e-09,0.000891825,-9.90125e-19
